n_all_rows,n_nonmissing_delay,delay_days_value,n_exact,pct_of_all_rows,pct_of_nonmissing_delay
26376,26376,0,10562,40.044,40.044
26376,26376,1,9300,35.2593,35.2593
26376,26376,2,2896,10.9797,10.9797
26376,26376,3,1894,7.1808,7.1808
26376,26376,4,354,1.3421,1.3421
26376,26376,5,190,0.7204,0.7204
26376,26376,6,110,0.417,0.417
26376,26376,7,128,0.4853,0.4853
26376,26376,14,32,0.1213,0.1213
26376,26376,21,22,0.0834,0.0834
26376,26376,30,6,0.0227,0.0227
26376,26376,60,0,0.0,0.0
26376,26376,90,0,0.0,0.0
26376,26376,98,2,0.0076,0.0076
26376,26376,99,10,0.0379,0.0379
26376,26376,100,2,0.0076,0.0076
26376,26376,180,2,0.0076,0.0076
26376,26376,365,8,0.0303,0.0303
