operator,n_total,pct_ge_99,pct_is_99,median_delay,p95_delay,p99_delay
NOBLE ENERGY INC,5430.0,1.1786,0.0,1.0,3.0,114.0
KERR MCGEE OIL & GAS ONSHORE LP,4714.0,0.4243,0.0424,0.0,3.0,17.61
PDC ENERGY INC,2454.0,0.326,0.0,1.0,3.0,27.0
CAERUS PICEANCE LLC,2194.0,0.1823,0.0912,1.0,3.0,18.28
BONANZA CREEK ENERGY OPERATING COMPANY LLC,1130.0,0.0,0.0,1.0,4.0,9.0
KP KAUFFMAN COMPANY INC,940.0,2.3404,0.6383,1.0,31.0,435.87
CHEVRON USA INC,872.0,1.6055,0.0,2.0,7.0,202.0
HIGHPOINT OPERATING CORPORATION,856.0,0.0,0.0,1.0,3.0,5.0
CRESTONE PEAK RESOURCES OPERATING LLC,694.0,0.2882,0.0,1.0,3.0,17.0
TEP ROCKY MOUNTAIN LLC,592.0,0.0,0.0,1.0,3.0,4.0
EXTRACTION OIL & GAS INC,494.0,1.6194,0.0,1.0,3.0,113.0
WHITING OIL & GAS CORPORATION,446.0,0.0,0.0,1.0,4.0,35.0
DCP OPERATING COMPANY LP,400.0,0.0,0.0,1.0,13.05,27.0
LARAMIE ENERGY LLC,286.0,0.0,0.0,1.0,17.0,65.0
KERR MCGEE GATHERING LLC,250.0,0.0,0.0,1.0,7.0,36.0
DCP MIDSTREAM LP,208.0,0.0,0.0,1.0,9.0,26.0
GREAT WESTERN OPERATING COMPANY LLC,206.0,1.9417,0.0,1.0,6.0,103.0
FUNDARE RESOURCES OPERATING COMPANY LLC,196.0,1.0204,0.0,1.0,5.0,20.2
XTO ENERGY INC,184.0,0.0,0.0,1.0,3.0,10.99
WPX ENERGY ROCKY MOUNTAIN LLC,164.0,0.0,0.0,0.0,1.0,1.0
FOUNDATION ENERGY MANAGEMENT LLC,160.0,2.5,0.0,2.0,7.0,176.0
SRC ENERGY INC,158.0,2.5316,0.0,1.0,6.9,303.0
VERDAD RESOURCES LLC,144.0,0.0,0.0,1.0,3.0,5.0
BARRETT CORPORATION* BILL,140.0,0.0,0.0,1.0,29.0,42.0
GRAND RIVER GATHERING LLC,138.0,0.0,0.0,1.0,5.0,25.0
