operator,n_total,p_late30_adj,p_any_adj
UTAH GAS OP LTD DBA UTAH GAS CORP,122,9.191,62.26
SCOUT ENERGY MANAGEMENT LLC,106,4.021,79.231
CHEVRON USA INC,872,3.47,80.964
URSA OPERATING COMPANY LLC,110,2.99,83.626
XTO ENERGY INC,184,2.779,84.785
NOBLE ENERGY INC,5430,1.973,61.807
CHEVRON PRODUCTION COMPANY,72,1.807,36.083
KERR MCGEE OIL & GAS ONSHORE LP,4714,1.801,34.028
PDC ENERGY INC,2454,1.69,66.911
CRESTONE PEAK RESOURCES OPERATING LLC,694,1.568,62.527
CAERUS PICEANCE LLC,2194,1.478,53.702
SYNERGY RESOURCES CORPORATION,100,1.304,95.994
SRC ENERGY INC,158,1.111,65.833
WHITING OIL & GAS CORPORATION,446,1.09,62.769
EXTRACTION OIL & GAS INC,494,1.037,54.632
